timestamp,controlpriority sentbytes,maxpriority_sentbytes,lowpriority_1_sentbytes,lowpriority_2_sentbytes,lowpriority_3_sentbytes
13:00:19.048,1259,,,,
13:00:19.074,1150,,,,
13:00:19.074,1111,,,,
